instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32
si6_b09_m800.02 141 8 87 24
si6_b09_m800.06 198 6 80 20
si6_b09_m800.08 141 6 85 20
si6_b06m_m400.00 108 4 27 8
si6_b06m_m400.08 83 5 29 6
si6_b06m_m400.03 107 2 30 6
si6_b06m_m400.04 69 2 27 6
si6_b06m_m400.06 98 4 27 7
si6_b06m_m400.07 114 4 28 6
si6_b06m_m400.09 102 3 28 7
si6_b06m_m400.02 97 4 26 7
si6_b06m_m400.01 102 5 28 7
si6_b06m_m400.05 97 2 25 7
si2_m4Dr4_m1296.08 4764 45 86 31
si2_m4Dr4_m1296.07 587 15 79 28
si2_m4Dr4_m1296.03 1735 34 67 27
si2_m4Dr4_m1296.05 350 16 69 29
si2_m4Dr4_m1296.06 264 10 63 26
si2_m4Dr4_m1296.04 310 629 80 867
si2_m4Dr4_m1296.09 564 28 83 28
si2_m4Dr4_m1296.01 367 17 85 27
si2_m4Dr4_m1296.00 605 21 74 23
si2_m4Dr4_m1296.02 835 21 107 34
si6_m4Dr6_m1296.02 1748 43 197 39
si6_m4Dr6_m1296.08 933 37 176 41
si6_m4Dr6_m1296.07 999 28 172 39
si6_m4Dr6_m1296.06 849 19 171 40
si6_m4Dr6_m1296.03 1078 37 176 44
si6_m4Dr6_m1296.04 938 27 249 42
si6_m4Dr6_m1296.05 1469 20 187 38
si6_m4Dr6_m1296.00 1083 21 180 39
si6_m4Dr6_m1296.09 1040 19 174 39
si6_m4Dr6_m1296.01 1025 38 186 39
si4_m4Dr2_m256.00 16 1 14 8
si4_m4Dr2_m256.01 15 0 14 4
si4_m4Dr2_m256.05 40 2 14 6
si4_m4Dr2_m256.04 59 1 16 6
si4_m4Dr2_m256.08 19 1 13 4
si4_m4Dr2_m256.07 17 0 13 7
si4_m4Dr2_m256.06 24 1 14 6
si4_m4Dr2_m256.02 17 1 11 4
si4_m4Dr2_m256.09 15 1 12 6
si4_m4Dr2_m256.03 20 1 14 5
si4_b09m_m200.01 11 0 7 4
si4_b09m_m200.00 9 0 8 4
si4_b09m_m200.03 19 0 9 5
si4_b09m_m200.06 14 0 11 4
si4_b09m_m200.02 14 0 8 3
si4_b09m_m200.04 16 0 9 4
si4_b09m_m200.05 15 0 8 4
si4_b09m_m200.07 15 0 8 4
si4_b09m_m200.08 15 0 9 3
si4_b09m_m200.09 15 0 10 2
si4_m4Dr4_m625.07 171 5 39 11
si4_m4Dr4_m625.05 165 4 40 9
si4_m4Dr4_m625.01 231 4 38 12
si4_m4Dr4_m625.08 360 6 38 10
si4_m4Dr4_m625.09 149 5 41 12
si4_m4Dr4_m625.00 134 9 82 13
si4_m4Dr4_m625.04 120 3 34 11
si4_m4Dr4_m625.06 180 3 38 10
