instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r clique-par/t4 clique-par/t2 clique-prime clique-prime-par/t32 james-cpp-max-prime james-cpp-max-prime-par/t32
mcs10_b06_s70_AB08 30418 100000 6212 4021 2429 1372 2355 74407 74545 67940 2233 2450 67513 8786 14459 17687 800 100000 75164
mcs10_b06_s70_AB09 15011 100000 2084 1087 766 773 769 35519 27506 31601 1088 1126 26329 3866 7744 14889 743 100000 26672
mcs10_b06_s80_AB00 100000 100000 60251 30275 21800 21979 21828 100000 100001 100002 30223 29171 100002 100001 100001 100000 21925 100000 100002
mcs10_b06_s80_AB01 100000 100000 100001 55447 40126 39993 40292 100000 100000 100001 55228 56944 100001 100001 100001 100000 40004 100000 100001
mcs10_b06_s80_AB02 100000 100000 23528 12167 12497 12720 12602 14649 9932 7099 13162 15621 8547 49481 100000 100000 4995 81659 8384
mcs10_b06_s80_AB03 100000 100000 100001 63067 52219 66789 52775 100000 100001 100001 59318 58660 100001 100001 100001 100000 41215 100000 100002
mcs10_b06_s80_AB04 100000 100000 79448 41464 39446 57685 39294 100000 100000 100001 37919 35106 100001 100001 100001 100000 20688 100000 100001
mcs10_b06_s80_AB05 100000 100000 41566 21264 15809 17575 15833 100000 100001 100001 22191 21972 100001 79739 100000 100000 15183 100000 100001
mcs10_b06_s80_AB06 100000 100000 100001 68924 55432 53093 55145 100000 100000 100002 70575 70415 100001 100001 100000 100000 46889 100000 100001
mcs10_b06_s80_AB07 100000 100000 100001 100002 100003 100032 100002 100000 100000 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_b06_s80_AB08 100000 100000 24315 13713 12076 13626 12060 100000 100001 100001 12885 12471 100001 44472 89187 100000 7975 100000 100002
mcs10_b06_s80_AB09 100000 100000 17788 9600 8402 8285 8405 100000 100001 100001 8375 8200 100001 35520 71724 100000 7979 100000 100001
mcs10_b06_s90_AB00 100000 100000 55086 27826 21353 26422 21339 100000 100000 100001 25844 25332 100001 100001 100001 100000 21330 100000 100001
mcs10_b06_s90_AB01 100000 100000 100001 100002 100004 100005 100003 100000 100000 100002 100001 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_b06_s90_AB02 100000 100000 100001 100002 100003 100005 100003 100000 100001 100002 100000 100000 100002 100001 100001 100000 100003 100000 100002
mcs10_b06_s90_AB03 100000 100000 100001 100001 100003 100018 100003 100000 100000 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_b06_s90_AB04 100000 100000 100001 100001 100003 100005 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_b06_s90_AB05 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_b06_s90_AB06 100000 100000 100001 100002 100004 100017 100003 100000 100001 100001 100000 100000 100002 100001 100001 100000 100003 100000 100002
mcs10_b06_s90_AB07 100000 100000 100001 100001 100004 100004 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_b06_s90_AB08 100000 100000 100001 100002 100003 100006 100003 100000 100001 100002 100001 100000 100002 100001 100001 100000 100003 100000 100001
mcs10_b06_s90_AB09 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100002
mcs10_b06m_s100_AB00 9267 100000 1362 995 684 1099 690 60351 57654 70410 927 622 70860 2133 4542 6297 384 100000 58163
mcs10_b06m_s100_AB01 100000 100000 53929 27311 19939 20030 20677 100000 100000 100001 26464 26268 100001 100001 100000 100000 17993 100000 100001
mcs10_b06m_s100_AB02 18878 100000 2684 1576 1329 1599 1337 100000 100001 100003 1157 1081 100002 4812 9571 18218 861 100000 100002
mcs10_b06m_s100_AB03 79086 100000 8290 4208 2952 3097 2919 100000 100000 100001 4025 3977 100002 15834 34224 64872 2898 100000 100002
mcs10_b06m_s100_AB04 69051 100000 10228 6040 6968 10232 7129 100000 100000 100001 5440 6524 100001 18426 35561 49386 4119 100000 100001
mcs10_b06m_s100_AB05 100000 100000 26362 13295 9641 9532 9450 100000 100000 100001 12669 12715 100001 50750 100000 100000 9478 100001 100001
mcs10_b06m_s100_AB06 100000 100000 65632 28767 22252 24997 22133 100000 100001 100001 32613 33984 100001 100000 100000 100000 18671 100000 100001
