instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32 clique-par/t2 clique-par/t4 clique-par/t8 clique-par/t16 clique-par/t32r
mcs10_b06m_s90_AB09 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_b09_s100_AB00 7673 964511 416 472392 4604 2091 1250 628 343
mcs10_b09_s100_AB01 3873 538628 247 318173 2081 1040 583 349 224
mcs10_b09_s100_AB02 13930 589068 547 749258 8515 2838 1613 935 519
mcs10_b09_s100_AB03 40471 507513 1765 579573 25180 9665 6479 2980 1690
mcs10_b09_s100_AB04 5427 215618 321 76476 3272 1522 896 490 284
mcs10_b09_s100_AB05 16653 528843 838 472114 10283 4041 2300 1292 749
mcs10_b09_s100_AB06 2306 59300 158 83259 1169 624 339 212 122
mcs10_b09_s100_AB07 10555 234554 546 178261 6264 2567 1507 847 490
mcs10_b09_s100_AB08 35226 295312 2041 398728 23296 7890 5498 2789 1898
mcs10_b09_s100_AB09 7350 382039 420 546382 4593 1851 1146 655 398
mcs10_b09m_s100_AB00 6256 411692 448 493914 3944 1740 1157 654 436
mcs10_b09m_s100_AB01 91207 1000000 2860 1000002 47256 16911 10457 4599 2407
mcs10_b09m_s100_AB02 16221 987128 732 608700 9592 3827 2223 1174 668
mcs10_b09m_s100_AB03 5606 432163 352 496374 3396 1499 876 519 293
mcs10_b09m_s100_AB04 3947 279917 254 100775 2454 1183 687 354 236
mcs10_b09m_s100_AB05 1687 227297 137 118901 959 513 269 193 95
mcs10_b09m_s100_AB06 42479 928805 2524 536026 22416 7455 5572 3035 2361
mcs10_b09m_s100_AB07 12112 505773 623 501311 7289 3024 1643 934 560
mcs10_b09m_s100_AB08 8038 275439 510 241722 4850 1976 1226 613 562
mcs10_b09m_s100_AB09 33004 535246 1556 372190 20473 7966 4481 2371 1446
mcs10_m2D_s100_AB00 1000000 1000000 93871 1000003 1000000 1000001 538720 199081 96945
mcs10_m2D_s100_AB01 860934 1000000 21286 1000001 354726 128964 37784 23719 18049
mcs10_m2D_s100_AB02 1000000 1000000 36145 1000001 612917 214428 150974 87670 36108
mcs10_m2D_s100_AB03 314189 1000000 4578 1000002 123200 31720 25199 12396 4426
mcs10_m2D_s100_AB04 1000000 1000000 135126 1000001 884734 359410 304689 173475 134175
mcs10_m2D_s100_AB05 327240 1000000 12758 1000002 208228 87312 60812 21082 12074
mcs10_m2D_s100_AB06 1000000 1000000 431264 1000001 1000000 1000000 1000001 576257 342184
mcs10_m2D_s100_AB07 1000000 1000000 1000002 1000001 1000000 1000001 1000000 1000001 1000002
mcs10_m2D_s100_AB08 1000000 1000000 37659 1000001 1000000 508415 193158 73094 38489
