instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32 kdown-par/t32r kdown-cilk/t32 kdown-cilk/t32r
si4_b06m_m400.04 55 2 17 5 17 58 51
si4_b06m_m400.09 78 3 20 5 22 57 54
si4_b06m_m400.02 56 2 21 5 17 50 51
si2_m4Dr2_m625.05 174 13 28 7 27 69 76
si2_m4Dr2_m625.00 356 4 28 9 32 80 99
si2_m4Dr2_m625.08 81 6 18 12 19 67 52
si2_m4Dr2_m625.09 117 5 25 8 21 70 58
si2_m4Dr2_m625.06 940 11 29 14 25 91 71
si2_m4Dr2_m625.04 216 23 26 7 34 96 80
si2_m4Dr2_m625.01 360 11 28 11 31 73 108
si2_m4Dr2_m625.03 735 9 23 12 31 84 76
si2_m4Dr2_m625.02 254 13 23 8 23 60 76
si2_m4Dr2_m625.07 82 4 25 8 23 55 60
si2_r005_m200.02 128 0 22 3 25 47 41
si2_r005_m200.01 33287 5718 2917 743 2894 3239 3254
si2_r005_m200.03 399 24 63 22 57 67 68
si2_r005_m200.05 5938 456 868 152 948 695 776
si2_r005_m200.08 3368 186 301 10 301 358 325
si2_r005_m200.04 126 84 25 52 22 38 40
si2_r005_m200.09 1855 90 150 6 140 194 239
si2_r005_m200.06 540 20 95 3 87 84 80
si2_r005_m200.00 2010 110 222 36 232 228 224
si2_r005_m200.07 407 54 37 11 33 54 71
si4_b03m_m400.03 58 2 29 4 29 66 65
si4_b03m_m400.09 62 2 21 5 27 53 49
si4_b03m_m400.08 68 3 31 4 33 57 63
si4_b03m_m400.04 97 4 27 5 25 57 66
si4_b03m_m400.00 93 3 29 4 23 53 68
si4_b03m_m400.01 62 2 28 4 30 67 65
si4_b03m_m400.07 59 2 32 5 26 64 65
si4_b03m_m400.02 61 2 27 4 24 55 65
si4_b03m_m400.06 58 2 28 3 27 61 67
si4_b03m_m400.05 56 2 24 4 23 55 61
si2_r01_m600.01 100000 6355 80892 1061 82606 80884 80538
si2_r01_m600.06 100000 21392 66924 5769 67176 67244 65054
si2_r01_m600.09 100000 49264 100002 5096 100002 100018 100018
si2_r01_m600.08 100000 90106 100002 8141 100002 100018 100016
si2_r01_m600.04 100000 19098 100002 2441 100002 100015 99873
si2_r01_m600.02 100000 24468 100002 3645 100002 100015 100016
si2_r01_m600.00 100000 12065 100002 918 100002 100018 100018
si2_r01_m600.07 100000 7664 100002 3454 100002 100017 100014
si2_r01_m600.03 100000 11790 100002 1553 100002 100020 100016
si2_r01_m600.05 100000 16588 100002 2166 100002 100017 100019
si4_m4Dr6_m256.01 21 1 9 4 10 33 47
si4_m4Dr6_m256.00 71 3 12 4 11 46 28
si4_m4Dr6_m256.05 135 5 26 8 22 34 38
si4_m4Dr6_m256.08 36 2 11 6 15 27 31
si4_m4Dr6_m256.03 38 1 11 5 11 36 46
si4_m4Dr6_m256.06 44 2 19 5 19 41 30
si4_m4Dr6_m256.09 22 1 8 3 9 23 21
si4_m4Dr6_m256.07 773 18 18 8 21 61 33
si4_m4Dr6_m256.02 43 1 12 6 11 27 33
si4_m4Dr6_m256.04 141 2 21 7 25 47 37
si2_b03m_m400.02 28 6 12 8 15 31 49
si2_b03m_m400.00 29 1 15 4 17 38 35
si2_b03m_m400.01 29 1 17 4 17 41 42
si2_b03m_m400.05 71 6 15 7 17 36 37
si2_b03m_m400.08 29 1 17 4 19 43 30
si2_b03m_m400.07 31 2 19 4 17 66 48
si2_b03m_m400.09 34 2 17 4 16 35 47
si2_b03m_m400.03 28 1 15 4 15 63 28
si2_b03m_m400.04 29 1 22 4 22 41 42
si2_b03m_m400.06 29 2 17 4 19 50 46
si2_b03m_m200.05 6 0 6 2 6 14 14
si2_b03m_m200.03 7 0 8 2 8 26 27
si2_b03m_m200.00 8 0 7 4 7 14 31
si2_b03m_m200.08 6 0 7 2 6 28 22
si2_b03m_m200.06 9 0 7 2 7 23 21
si2_b03m_m200.02 7 0 20 2 7 14 16
si2_b03m_m200.09 7 0 7 2 8 24 24
si2_b03m_m200.04 7 0 8 2 8 21 22
si2_b03m_m200.01 8 0 8 2 9 13 16
si2_b03m_m200.07 11 0 8 2 7 16 26
si4_r001_m200.04 512 10 75 6 81 28 41
si4_r001_m200.07 1005 6 15 7 16 42 41
si4_r001_m200.00 12 81 15 3 15 32 34
si4_r001_m200.01 98 1 17 3 18 38 27
si4_r001_m200.03 7258 381 64 4 57 37 73
si4_r001_m200.06 20 2 11 3 11 34 32
si4_r001_m200.05 401 31 14 10 13 21 41
si4_r001_m200.08 16 2 16 4 20 40 28
si4_r001_m200.09 26856 380 56 17 31 77 40
si4_r001_m200.02 554 17 30 6 29 89 70
si2_m4D_m256.08 15 1 8 4 8 20 28
si2_m4D_m256.03 10 1 7 3 9 23 17
si2_m4D_m256.02 17 1 8 4 7 31 22
si2_m4D_m256.06 14 0 9 3 8 26 34
si2_m4D_m256.04 13 1 7 2 7 27 26
si2_m4D_m256.07 20 1 8 4 8 29 32
si2_m4D_m256.01 10 0 7 3 9 36 34
si2_m4D_m256.09 17 0 7 3 8 21 25
si2_m4D_m256.00 11 1 7 4 8 19 17
si2_m4D_m256.05 13 1 7 4 7 26 26
si6_r01_m400.04 64772 44 5749 14 5679 5874 5850
si6_r01_m400.08 56610 65 5157 35 5182 5111 5147
si6_r01_m400.07 44862 5 3923 7 4098 4020 4048
si6_r01_m400.06 37053 46 3292 8 3220 3437 3429
si6_r01_m400.05 100000 14 9504 59 9923 9660 9584
si6_r01_m400.02 87377 9 7719 35 7543 7846 7789
si6_r01_m400.00 100000 39 12547 26 12516 12461 12419
si6_r01_m400.03 12208 131 1306 18 1328 1243 1159
si6_r01_m400.01 36632 135 3232 12 3288 3277 3206
si6_r01_m400.09 69444 281 6594 13 6472 6726 6750
si2_m4Dr4_m625.07 705 31 21 11 21 88 65
si2_m4Dr4_m625.02 113 6 23 8 21 64 65
si2_m4Dr4_m625.03 75 4 19 9 19 60 61
si2_m4Dr4_m625.00 76 4 20 8 19 62 61
si2_m4Dr4_m625.05 95 4 16 8 16 60 72
si2_m4Dr4_m625.06 304 17 24 9 23 56 101
si2_m4Dr4_m625.09 42673 2736 37 21 24 79 55
si2_m4Dr4_m625.01 123 5 22 12 40 62 61
