instance kdown james-cpp-max-down
si4_m4D_m256.03 22 616
si4_m4D_m256.01 7 864
si6_b06m_m800.07 14 1941
si6_b06m_m800.04 23 1839
si6_b06m_m800.01 18 1828
si6_b06m_m800.00 16 1804
si6_b06m_m800.05 23 1845
si6_b06m_m800.08 12 1800
si6_b06m_m800.09 14 1808
si6_b06m_m800.02 23 1817
si6_b06m_m800.03 15 1811
si6_b06m_m800.06 17 1800
si4_r001_m400.08 71430 8692891
si4_r001_m400.06 NaN NaN
si4_r001_m400.02 37654 3918
si4_r001_m400.00 7767 29308
si4_r001_m400.04 NaN 6818721
si4_r001_m400.03 NaN 278431
si4_r001_m400.09 129418 997
si4_r001_m400.05 NaN 5377566
si4_r001_m400.01 NaN 114573
si4_r001_m400.07 NaN 420182
si2_m4Dr6_m1296.00 58 3094
si2_m4Dr6_m1296.01 223 3854
si2_m4Dr6_m1296.09 188 3207
si2_m4Dr6_m1296.06 93 2296
si2_m4Dr6_m1296.03 36 2002
si2_m4Dr6_m1296.02 45 2020
si2_m4Dr6_m1296.05 85 4287
si2_m4Dr6_m1296.08 51 2181
si2_m4Dr6_m1296.04 2190 7037
si2_m4Dr6_m1296.07 669 10252
si2_b03_m800.07 4 1123
si2_b03_m800.08 4 1123
si2_b03_m800.04 4 1123
si2_b03_m800.05 4 1123
si2_b03_m800.09 4 1123
si2_b03_m800.00 4 1123
si2_b03_m800.02 4 1123
si2_b03_m800.03 4 1123
si2_b03_m800.01 4 1123
si2_b03_m800.06 4 1123
si4_b03m_m200.05 24 409
si4_b03m_m200.02 38 434
si4_b03m_m200.04 28 422
si4_b03m_m200.07 31 403
si4_b03m_m200.00 35 442
si4_b03m_m200.06 27 411
si4_b03m_m200.03 27 398
