instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r
mcs90_m2Dr2_s30_AB05 3 0 4 5 7 8 8 1 1 3 11 26 2
mcs90_m2Dr2_s30_AB06 3 0 5 8 7 8 6 1 2 3 22 32 3
mcs90_m2Dr2_s30_AB07 3 0 5 7 7 8 7 0 1 2 24 20 3
mcs90_m2Dr2_s30_AB08 4 0 7 7 8 10 8 0 1 1 36 20 1
mcs90_m2Dr2_s30_AB09 2 0 5 6 6 8 6 1 2 3 19 24 2
mcs90_m2Dr2_s40_AB00 14 0 13 15 14 17 16 0 1 2 37 27 2
mcs90_m2Dr2_s40_AB01 8 0 12 12 15 15 14 0 1 1 20 19 2
mcs90_m2Dr2_s40_AB02 12 0 13 13 16 18 17 0 0 1 30 51 1
mcs90_m2Dr2_s40_AB03 9 0 11 13 12 14 13 0 1 2 19 41 1
mcs90_m2Dr2_s40_AB04 8 0 10 13 13 13 12 0 1 2 17 28 2
mcs90_m2Dr2_s40_AB05 12 0 12 12 13 17 13 0 1 2 19 21 2
mcs90_m2Dr2_s40_AB06 8 0 9 12 14 14 13 0 1 3 25 45 2
mcs90_m2Dr2_s40_AB07 14 0 14 18 17 20 19 0 0 1 36 27 1
mcs90_m2Dr2_s40_AB08 8 0 9 11 13 14 12 0 1 2 36 16 2
mcs90_m2Dr2_s40_AB09 9 0 11 12 12 13 14 0 0 1 27 26 1
mcs90_m2Dr2_s50_AB00 22 0 24 25 26 30 26 0 1 3 36 51 3
mcs90_m2Dr2_s50_AB01 21 0 23 26 25 27 27 0 1 3 44 37 3
mcs90_m2Dr2_s50_AB02 22 0 23 26 27 29 26 0 1 1 44 29 1
mcs90_m2Dr2_s50_AB03 24 0 26 27 28 28 29 0 1 1 40 56 2
mcs90_m2Dr2_s50_AB04 23 0 24 26 26 28 27 0 1 3 41 32 2
mcs90_m2Dr2_s50_AB05 27 0 23 26 25 29 26 0 2 2 45 45 2
mcs90_m2Dr2_s50_AB06 27 0 24 29 27 26 25 0 1 3 40 41 2
mcs90_m2Dr2_s50_AB07 28 0 24 26 25 26 27 0 1 2 36 38 1
mcs90_m2Dr2_s50_AB08 22 0 25 25 25 30 26 0 2 2 38 35 2
mcs90_m2Dr2_s50_AB09 20 0 20 23 24 27 25 0 1 2 41 47 2
mcs90_m2Dr2_s60_AB00 12 0 16 17 17 21 17 0 1 2 31 29 3
mcs90_m2Dr2_s60_AB01 14 3 15 16 19 19 19 3 4 5 31 40 5
mcs90_m2Dr2_s60_AB02 20 0 18 20 21 22 20 1 2 4 35 32 3
mcs90_m2Dr2_s60_AB03 19 0 15 17 21 18 20 1 2 3 42 29 4
mcs90_m2Dr2_s60_AB04 16 2 20 18 20 19 21 2 2 3 25 51 3
mcs90_m2Dr2_s60_AB05 17 1 18 20 20 23 22 1 3 3 36 36 4
mcs90_m2Dr2_s60_AB06 18 1 18 18 18 19 18 1 2 3 44 37 3
mcs90_m2Dr2_s60_AB07 14 0 16 18 16 19 18 1 2 3 57 32 3
mcs90_m2Dr2_s60_AB08 18 0 20 22 22 24 22 0 1 2 28 34 2
mcs90_m2Dr2_s60_AB09 13 0 15 16 17 19 17 1 2 3 31 27 4
mcs90_m2Dr2_s70_AB00 25 0 27 28 28 29 28 0 1 2 35 60 1
mcs90_m2Dr2_s70_AB01 29 0 31 30 34 32 29 0 1 1 45 33 1
mcs90_m2Dr2_s70_AB02 29 0 27 29 28 31 28 0 0 1 36 44 1
mcs90_m2Dr2_s70_AB03 28 0 30 31 35 33 30 0 1 1 46 45 1
mcs90_m2Dr2_s70_AB04 34 0 30 31 33 32 29 0 0 1 45 43 1
mcs90_m2Dr2_s70_AB05 25 1 28 28 28 30 31 1 1 2 46 35 3
mcs90_m2Dr2_s70_AB06 24 0 27 27 29 30 27 0 2 2 32 45 2
mcs90_m2Dr2_s70_AB07 27 0 30 30 33 34 30 0 1 2 44 61 2
mcs90_m2Dr2_s70_AB08 24 0 24 29 30 33 28 1 2 3 51 41 3
mcs90_m2Dr2_s70_AB09 32 0 25 29 29 31 28 0 1 2 46 43 2
mcs90_m2Dr2_s80_AB00 58 505 41 46 47 46 52 426 443 441 59 57 430
mcs90_m2Dr2_s80_AB01 57 24 56 57 56 66 63 23 25 26 74 74 24
mcs90_m2Dr2_s80_AB02 48 684 46 50 49 53 50 107 111 109 64 62 106
mcs90_m2Dr2_s80_AB03 1328 162 47 51 54 57 60 117 108 114 75 84 111
mcs90_m2Dr2_s80_AB04 54 2 43 51 50 49 52 2 3 4 61 67 5
mcs90_m2Dr2_s80_AB05 42 81 44 47 47 44 48 76 77 77 71 79 75
mcs90_m2Dr2_s80_AB06 46 2610 45 51 54 48 50 60 69 71 83 65 66
mcs90_m2Dr2_s80_AB07 40 25 41 42 41 45 42 17 18 21 56 48 17
mcs90_m2Dr2_s80_AB08 92 82 62 63 71 73 66 45 48 45 82 77 36
mcs90_m2Dr2_s80_AB09 491 122 56 54 59 56 62 64 68 66 71 71 67
mcs90_m2Dr2_s90_AB00 73 0 74 76 83 73 80 1 1 3 99 87 3
mcs90_m2Dr2_s90_AB01 69 23 70 71 84 85 71 1 2 4 99 80 4
mcs90_m2Dr2_s90_AB02 81 1 74 79 75 76 83 1 2 4 114 103 3
mcs90_m2Dr2_s90_AB03 96 19 82 84 87 98 81 1 2 3 118 111 4
mcs90_m2Dr2_s90_AB04 68 0 66 75 76 72 68 1 1 3 92 91 3
mcs90_m2Dr2_s90_AB05 77 65 67 75 78 75 71 7 7 9 108 116 8
mcs90_m2Dr2_s90_AB06 255 0 61 67 64 69 76 1 2 2 120 107 3
mcs90_m2Dr2_s90_AB07 98 1 77 85 83 82 79 1 2 3 125 127 3
mcs90_m2Dr2_s90_AB08 103 15 72 75 71 82 78 2 3 4 107 102 4
mcs90_m2Dr2_s90_AB09 76 0 71 75 71 77 70 0 1 2 126 100 2
mcs90_m2Dr4_s100_AB00 46 8 36 39 39 39 38 6 6 7 69 69 7
mcs90_m2Dr4_s100_AB01 36 41 38 41 40 41 39 42 41 43 53 44 40
mcs90_m2Dr4_s100_AB02 36 0 38 43 43 39 41 1 2 3 63 61 3
mcs90_m2Dr4_s100_AB03 31 33 33 38 36 36 36 29 32 34 45 51 33
mcs90_m2Dr4_s100_AB04 29 5 29 32 32 34 33 6 6 7 45 48 9
mcs90_m2Dr4_s100_AB05 37 0 27 30 29 30 30 1 2 3 36 35 3
mcs90_m2Dr4_s100_AB06 28 16 30 31 32 34 30 16 16 19 66 37 19
mcs90_m2Dr4_s100_AB07 37 41 39 42 42 44 40 39 40 43 46 44 43
mcs90_m2Dr4_s100_AB08 34 35 38 40 38 39 42 33 35 34 50 60 36
mcs90_m2Dr4_s100_AB09 38 47 41 44 40 45 40 44 39 44 64 55 43
mcs90_m2Dr4_s10_AB00 0 0 1 3 3 5 2 0 1 1 9 16 1
mcs90_m2Dr4_s10_AB01 0 0 1 2 4 6 4 0 1 2 17 40 1
mcs90_m2Dr4_s10_AB02 0 0 3 3 4 5 4 0 1 2 12 25 2
mcs90_m2Dr4_s10_AB03 0 0 2 3 4 5 4 0 1 1 16 10 1
mcs90_m2Dr4_s10_AB04 0 0 3 4 4 5 3 0 1 2 17 10 1
mcs90_m2Dr4_s10_AB05 0 0 3 4 3 4 3 0 0 1 21 7 1
mcs90_m2Dr4_s10_AB06 0 0 3 3 4 6 3 0 1 1 13 10 1
mcs90_m2Dr4_s10_AB07 0 0 1 1 4 7 2 0 1 1 9 10 2
mcs90_m2Dr4_s10_AB08 0 0 3 3 4 5 2 0 1 2 12 13 1
mcs90_m2Dr4_s10_AB09 0 0 3 4 5 6 5 0 1 1 16 10 2
mcs90_m2Dr4_s20_AB00 1 0 3 4 6 8 6 0 1 1 17 20 2
mcs90_m2Dr4_s20_AB01 2 0 5 5 6 7 7 1 2 3 20 18 3
mcs90_m2Dr4_s20_AB02 3 0 4 5 6 9 5 0 1 2 21 33 2
mcs90_m2Dr4_s20_AB03 2 0 4 4 5 7 5 0 0 2 33 11 1
mcs90_m2Dr4_s20_AB04 2 0 4 4 6 8 6 0 1 2 27 31 1
mcs90_m2Dr4_s20_AB05 1 0 3 4 6 6 5 0 0 1 41 14 1
mcs90_m2Dr4_s20_AB06 2 0 4 5 5 8 5 0 0 1 11 45 1
mcs90_m2Dr4_s20_AB07 2 0 4 5 6 8 6 0 1 2 10 41 2
mcs90_m2Dr4_s20_AB08 1 0 5 5 5 7 5 0 1 2 24 29 2
mcs90_m2Dr4_s20_AB09 2 0 4 6 6 7 6 0 0 1 11 31 2
mcs90_m2Dr4_s30_AB00 2 0 4 5 5 8 6 0 1 2 27 14 2
mcs90_m2Dr4_s30_AB01 3 0 6 5 7 7 6 0 2 1 12 32 3
mcs90_m2Dr4_s30_AB02 3 0 6 6 7 8 7 0 1 2 24 12 2
mcs90_m2Dr4_s30_AB03 3 0 5 5 7 9 7 0 1 1 13 19 2
mcs90_m2Dr4_s30_AB04 3 0 6 5 6 8 6 0 0 1 18 10 1
mcs90_m2Dr4_s30_AB05 3 0 5 7 8 9 7 0 1 2 31 16 2
mcs90_m2Dr4_s30_AB06 2 0 5 5 6 8 7 0 1 2 20 15 4
mcs90_m2Dr4_s30_AB07 4 0 6 7 9 10 9 0 2 1 49 25 1
mcs90_m2Dr4_s30_AB08 4 1 5 6 6 8 6 0 1 2 25 12 3
mcs90_m2Dr4_s30_AB09 3 0 5 6 6 9 6 0 1 2 14 22 2
mcs90_m2Dr4_s40_AB00 16 0 13 12 14 17 14 0 1 1 18 25 1
mcs90_m2Dr4_s40_AB01 12 0 11 12 13 16 13 0 1 2 33 36 1
mcs90_m2Dr4_s40_AB02 10 0 12 13 15 15 15 0 1 3 28 20 2
mcs90_m2Dr4_s40_AB03 13 0 10 13 15 14 13 0 1 2 27 25 1
mcs90_m2Dr4_s40_AB04 8 0 10 11 12 14 12 0 1 2 29 35 2
mcs90_m2Dr4_s40_AB05 9 0 10 13 12 14 12 1 1 3 19 27 2
mcs90_m2Dr4_s40_AB06 7 0 11 11 12 13 12 0 1 2 31 38 1
mcs90_m2Dr4_s40_AB07 9 0 13 13 14 14 14 0 1 2 28 30 2
mcs90_m2Dr4_s40_AB08 10 0 13 14 14 17 17 0 0 1 37 30 1
mcs90_m2Dr4_s40_AB09 8 0 12 11 11 13 13 0 1 1 28 33 1
mcs90_m2Dr4_s50_AB00 19 0 20 22 25 25 23 0 1 2 29 27 2
mcs90_m2Dr4_s50_AB01 23 0 25 27 27 31 28 0 1 2 40 39 1
mcs90_m2Dr4_s50_AB02 19 0 21 22 24 28 23 0 1 2 38 29 1
mcs90_m2Dr4_s50_AB03 38 1 34 37 34 34 39 0 1 2 37 51 2
mcs90_m2Dr4_s50_AB04 25 0 26 28 30 33 32 0 1 1 42 51 1
mcs90_m2Dr4_s50_AB05 20 0 23 25 23 27 27 0 1 2 29 28 2
mcs90_m2Dr4_s50_AB06 21 0 21 24 24 25 24 0 0 1 42 37 1
mcs90_m2Dr4_s50_AB07 21 0 22 24 23 27 22 0 1 4 49 47 2
mcs90_m2Dr4_s50_AB08 30 0 33 36 35 36 33 0 0 1 49 63 1
mcs90_m2Dr4_s50_AB09 18 1 20 22 21 24 21 0 1 3 51 34 3
mcs90_m2Dr4_s60_AB00 13 0 15 17 17 19 16 1 2 3 22 31 3
mcs90_m2Dr4_s60_AB01 21 0 23 26 26 28 27 2 1 3 50 31 3
mcs90_m2Dr4_s60_AB02 15 0 16 19 18 19 18 1 3 4 30 39 5
mcs90_m2Dr4_s60_AB03 11 0 14 17 16 17 17 1 2 3 36 33 2
mcs90_m2Dr4_s60_AB04 14 0 15 17 16 19 18 1 1 3 44 42 3
mcs90_m2Dr4_s60_AB05 18 2 16 17 16 18 18 2 3 5 38 29 4
mcs90_m2Dr4_s60_AB06 22 2 22 25 26 29 26 3 4 5 46 41 6
mcs90_m2Dr4_s60_AB07 14 0 16 18 18 22 18 0 0 1 38 32 1
mcs90_m2Dr4_s60_AB08 13 0 15 17 16 17 19 1 2 3 24 31 3
mcs90_m2Dr4_s60_AB09 14 2 16 18 19 19 19 3 4 5 33 35 4
mcs90_m2Dr4_s70_AB00 25 0 27 30 30 30 30 0 1 1 33 32 1
mcs90_m2Dr4_s70_AB01 41 0 31 34 32 36 34 0 1 1 63 46 1
mcs90_m2Dr4_s70_AB02 33 0 28 29 30 33 31 0 1 2 49 43 2
mcs90_m2Dr4_s70_AB03 26 0 27 29 31 34 30 1 1 1 37 60 1
mcs90_m2Dr4_s70_AB04 27 0 24 30 27 29 28 0 1 2 48 34 2
mcs90_m2Dr4_s70_AB05 23 0 25 29 26 29 29 0 3 1 34 39 2
mcs90_m2Dr4_s70_AB06 23 0 25 26 26 31 28 0 1 2 39 38 2
mcs90_m2Dr4_s70_AB07 23 0 26 27 30 30 27 0 1 2 31 36 2
mcs90_m2Dr4_s70_AB08 27 0 28 30 31 31 30 0 1 1 53 39 1
mcs90_m2Dr4_s70_AB09 24 0 29 32 29 31 28 0 1 2 47 42 2
mcs90_m2Dr4_s80_AB00 47 2704 45 52 53 49 52 148 131 146 62 70 130
mcs90_m2Dr4_s80_AB01 41 70 41 45 55 52 46 5 5 6 60 61 8
mcs90_m2Dr4_s80_AB02 72 532 44 47 42 53 44 44 43 35 53 60 47
mcs90_m2Dr4_s80_AB03 55 299 46 49 54 48 45 217 182 180 60 68 192
mcs90_m2Dr4_s80_AB04 43 417 41 41 52 42 44 3 3 5 66 54 5
mcs90_m2Dr4_s80_AB05 137 67 42 48 45 48 55 56 56 55 61 61 57
mcs90_m2Dr4_s80_AB06 43 3 43 44 46 46 45 3 3 5 65 47 4
mcs90_m2Dr4_s80_AB07 257 8 43 48 46 55 49 4 6 7 67 59 7
mcs90_m2Dr4_s80_AB08 74 162 52 55 52 58 55 100 98 87 66 72 102
mcs90_m2Dr4_s80_AB09 1314 1717 53 55 59 66 58 30 25 31 69 66 34
mcs90_m2Dr4_s90_AB00 85 0 71 74 75 71 75 1 1 2 105 98 2
mcs90_m2Dr4_s90_AB01 89 0 82 90 87 84 79 1 1 3 113 130 3
mcs90_m2Dr4_s90_AB02 62 1 62 65 65 65 62 1 2 3 87 85 4
mcs90_m2Dr4_s90_AB03 78 14 70 72 69 73 72 12 13 13 98 100 13
mcs90_m2Dr4_s90_AB04 88 2 83 89 90 94 86 3 4 4 111 104 4
mcs90_m2Dr4_s90_AB05 63 5 64 65 62 68 75 1 2 3 87 82 2
mcs90_m2Dr4_s90_AB06 226 0 60 66 64 66 61 1 1 3 107 97 2
mcs90_m2Dr4_s90_AB07 65 0 65 68 71 70 78 1 1 3 89 84 2
mcs90_m2Dr4_s90_AB08 93 43 68 72 78 71 74 1 2 4 86 91 4
mcs90_m2Dr4_s90_AB09 67 0 68 69 69 72 69 1 2 3 94 91 3
mcs90_m2Dr6_s100_AB00 32 16 33 36 36 38 34 12 11 14 40 52 14
mcs90_m2Dr6_s100_AB01 26 30 29 30 31 34 33 26 30 30 44 67 30
mcs90_m2Dr6_s100_AB02 36 6 38 39 40 41 42 7 7 8 54 46 9
mcs90_m2Dr6_s100_AB03 33 22 36 39 37 36 35 23 22 24 41 52 23
mcs90_m2Dr6_s100_AB04 34 34 35 38 35 37 36 35 31 33 48 45 36
mcs90_m2Dr6_s100_AB05 37 24 32 32 33 36 34 25 25 25 46 57 27
mcs90_m2Dr6_s100_AB06 27 5 31 32 32 33 34 5 6 7 57 55 7
mcs90_m2Dr6_s100_AB07 35 7 38 37 38 40 39 8 8 10 44 44 8
mcs90_m2Dr6_s100_AB08 26 13 27 30 29 35 31 9 9 8 36 37 8
mcs90_m2Dr6_s100_AB09 32 13 33 36 37 36 36 13 13 16 49 49 15
mcs90_m2Dr6_s10_AB00 0 0 1 3 2 4 4 0 1 1 20 8 1
mcs90_m2Dr6_s10_AB01 0 0 1 2 2 6 4 0 0 1 16 26 2
mcs90_m2Dr6_s10_AB02 0 0 2 1 2 5 4 0 0 1 49 8 1
mcs90_m2Dr6_s10_AB03 0 0 2 3 3 6 4 0 1 2 33 17 1
mcs90_m2Dr6_s10_AB04 0 0 2 3 3 6 2 0 1 1 9 18 1
mcs90_m2Dr6_s10_AB05 0 0 2 1 4 6 2 0 0 1 28 17 1
mcs90_m2Dr6_s10_AB06 0 0 2 4 2 6 4 0 0 1 10 24 1
mcs90_m2Dr6_s10_AB07 0 0 2 3 4 5 3 0 0 1 8 19 1
mcs90_m2Dr6_s10_AB08 0 0 3 1 4 4 4 0 0 1 17 9 1
mcs90_m2Dr6_s10_AB09 0 0 2 3 2 4 2 0 1 2 17 18 2
mcs90_m2Dr6_s20_AB00 2 0 3 5 6 7 6 0 1 1 22 9 1
mcs90_m2Dr6_s20_AB01 1 0 3 5 5 7 4 0 1 2 10 28 3
mcs90_m2Dr6_s20_AB02 1 0 3 4 6 7 5 0 1 2 24 18 2
mcs90_m2Dr6_s20_AB03 2 0 5 4 6 7 6 0 1 2 21 18 3
mcs90_m2Dr6_s20_AB04 2 0 4 4 6 7 5 0 1 2 24 26 2
mcs90_m2Dr6_s20_AB05 2 0 4 5 7 7 5 0 1 4 9 18 3
mcs90_m2Dr6_s20_AB06 1 0 4 5 7 7 5 0 1 2 11 13 2
mcs90_m2Dr6_s20_AB07 1 0 3 4 5 6 5 0 1 3 18 17 2
mcs90_m2Dr6_s20_AB08 1 0 2 4 5 7 5 0 1 1 22 10 2
mcs90_m2Dr6_s20_AB09 2 0 5 5 6 8 7 0 1 1 12 22 2
mcs90_m2Dr6_s30_AB00 2 0 5 4 5 7 6 0 1 1 19 17 1
mcs90_m2Dr6_s30_AB01 3 0 5 6 7 8 7 0 1 2 31 20 2
mcs90_m2Dr6_s30_AB02 3 0 5 6 7 7 7 0 1 1 12 18 2
mcs90_m2Dr6_s30_AB03 3 0 5 5 5 9 7 0 1 2 19 15 2
mcs90_m2Dr6_s30_AB04 3 0 5 5 8 9 7 0 1 1 12 24 1
mcs90_m2Dr6_s30_AB05 4 0 4 6 6 9 8 1 1 3 16 13 3
mcs90_m2Dr6_s30_AB06 3 0 4 5 6 9 6 0 1 1 14 22 1
mcs90_m2Dr6_s30_AB07 2 0 4 5 6 8 7 0 1 2 12 12 2
mcs90_m2Dr6_s30_AB08 4 0 6 6 7 8 7 0 1 1 23 12 2
mcs90_m2Dr6_s30_AB09 5 0 6 8 9 10 9 0 1 2 22 13 2
mcs90_m2Dr6_s40_AB00 9 0 11 11 13 15 12 0 1 1 26 33 2
mcs90_m2Dr6_s40_AB01 8 0 12 10 14 16 13 0 1 2 27 24 2
mcs90_m2Dr6_s40_AB02 11 0 13 11 13 16 15 0 1 2 19 20 1
mcs90_m2Dr6_s40_AB03 10 0 12 13 13 16 15 0 1 1 33 21 1
mcs90_m2Dr6_s40_AB04 8 0 11 12 11 12 11 0 1 2 16 19 2
mcs90_m2Dr6_s40_AB05 8 1 10 12 13 14 13 0 1 1 17 45 1
mcs90_m2Dr6_s40_AB06 8 0 10 11 12 13 13 0 1 1 36 23 2
mcs90_m2Dr6_s40_AB07 7 0 10 11 12 14 12 0 1 1 19 15 2
mcs90_m2Dr6_s40_AB08 8 0 11 12 11 13 12 0 1 2 27 31 2
mcs90_m2Dr6_s40_AB09 9 0 11 12 13 14 14 0 1 1 21 19 2
mcs90_m2Dr6_s50_AB00 32 0 26 29 27 30 29 0 1 2 46 58 2
mcs90_m2Dr6_s50_AB01 21 0 22 25 24 29 27 0 1 1 40 39 1
mcs90_m2Dr6_s50_AB02 22 0 21 24 26 28 23 0 1 2 37 43 2
mcs90_m2Dr6_s50_AB03 35 0 21 24 23 27 24 0 1 2 42 35 3
mcs90_m2Dr6_s50_AB04 35 0 26 30 29 31 31 0 1 2 36 41 2
mcs90_m2Dr6_s50_AB05 33 0 27 29 31 32 29 0 1 2 37 36 1
mcs90_m2Dr6_s50_AB06 21 0 21 23 24 26 27 0 1 2 60 42 3
mcs90_m2Dr6_s50_AB07 20 0 23 24 25 28 26 0 1 2 42 49 4
mcs90_m2Dr6_s50_AB08 22 0 24 24 28 28 27 0 1 2 59 34 1
mcs90_m2Dr6_s50_AB09 26 0 29 29 32 31 28 0 1 3 47 35 1
mcs90_m2Dr6_s60_AB00 11 3 13 14 14 15 15 1 2 3 53 42 3
mcs90_m2Dr6_s60_AB01 18 2 17 18 18 21 17 2 3 5 36 31 5
mcs90_m2Dr6_s60_AB02 14 2 19 19 19 22 20 1 2 4 37 45 4
mcs90_m2Dr6_s60_AB03 14 2 15 16 16 18 16 2 3 4 34 33 5
mcs90_m2Dr6_s60_AB04 13 1 17 16 20 19 16 1 2 3 35 25 3
mcs90_m2Dr6_s60_AB05 15 0 18 21 21 23 18 1 2 3 45 38 3
mcs90_m2Dr6_s60_AB06 23 0 17 18 17 21 19 0 1 2 40 31 3
mcs90_m2Dr6_s60_AB07 12 3 13 16 17 17 15 4 4 5 60 43 6
mcs90_m2Dr6_s60_AB08 17 2 20 23 22 24 22 1 2 3 35 37 3
mcs90_m2Dr6_s60_AB09 17 8 15 16 17 17 17 2 2 4 44 29 4
mcs90_m2Dr6_s70_AB00 26 0 27 30 32 32 30 0 1 1 51 47 1
mcs90_m2Dr6_s70_AB01 31 0 25 30 27 29 28 0 1 1 36 55 1
mcs90_m2Dr6_s70_AB02 42 0 43 51 44 50 48 0 1 1 56 56 1
mcs90_m2Dr6_s70_AB03 26 0 30 30 31 33 32 0 1 2 52 40 2
mcs90_m2Dr6_s70_AB04 26 0 27 30 30 31 30 0 1 1 47 51 1
mcs90_m2Dr6_s70_AB05 28 0 30 30 33 33 30 0 1 1 44 35 1
mcs90_m2Dr6_s70_AB06 21 0 24 23 25 25 24 1 1 2 37 38 2
mcs90_m2Dr6_s70_AB07 24 37 24 26 25 27 25 1 2 3 39 52 3
mcs90_m2Dr6_s70_AB08 27 0 27 30 32 31 29 1 1 3 41 43 2
mcs90_m2Dr6_s70_AB09 32 0 26 31 28 30 28 0 1 2 34 43 2
mcs90_m2Dr6_s80_AB00 135 565 42 43 44 47 43 16 17 19 54 60 15
mcs90_m2Dr6_s80_AB01 54 454 48 47 57 51 56 10 11 12 65 65 11
mcs90_m2Dr6_s80_AB02 69 218 46 52 56 53 54 187 150 190 66 67 171
mcs90_m2Dr6_s80_AB03 45 49 47 52 57 51 51 37 36 39 56 62 39
mcs90_m2Dr6_s80_AB04 63 52 43 47 51 46 43 30 30 32 65 51 35
mcs90_m2Dr6_s80_AB05 40 25 40 44 50 47 47 15 17 18 56 83 18
mcs90_m2Dr6_s80_AB06 42 8 44 45 45 48 47 5 5 6 72 69 7
mcs90_m2Dr6_s80_AB07 39 14 38 41 41 47 44 9 10 10 57 61 11
mcs90_m2Dr6_s80_AB08 44 25 44 45 42 48 51 18 18 21 72 58 21
mcs90_m2Dr6_s80_AB09 43 140 42 46 43 52 48 9 11 12 51 57 13
mcs90_m2Dr6_s90_AB00 72 2 71 68 73 71 75 2 3 4 100 96 4
mcs90_m2Dr6_s90_AB01 62 3 64 66 67 66 64 2 2 4 84 96 4
mcs90_m2Dr6_s90_AB02 73 1 71 74 73 76 73 2 2 3 86 96 3
mcs90_m2Dr6_s90_AB03 86 2 69 72 70 69 66 2 2 3 92 89 3
mcs90_m2Dr6_s90_AB04 91 0 66 65 66 68 68 1 1 2 95 93 3
mcs90_m2Dr6_s90_AB05 67 0 67 72 67 73 67 1 2 3 95 86 4
mcs90_m2Dr6_s90_AB06 91 1 63 66 67 65 64 1 3 3 91 106 3
mcs90_m2Dr6_s90_AB07 72 0 71 74 78 73 81 1 1 2 130 98 3
mcs90_m2Dr6_s90_AB08 66 0 66 70 71 68 67 1 1 3 92 95 2
mcs90_m2Dr6_s90_AB09 63 0 62 70 66 64 68 1 2 3 98 81 2
mcs90_m3D_s10_AB00 0 0 2 4 4 6 4 0 1 2 17 36 2
mcs90_m3D_s10_AB01 0 0 2 4 4 6 4 0 0 1 10 17 1
mcs90_m3D_s10_AB02 0 0 2 4 4 6 4 0 0 1 20 23 1
mcs90_m3D_s10_AB03 0 0 3 3 4 5 5 0 1 1 9 18 2
mcs90_m3D_s10_AB04 0 0 2 3 4 6 2 0 1 1 24 9 1
mcs90_m3D_s10_AB05 0 0 3 3 4 5 4 0 1 1 9 10 2
mcs90_m3D_s10_AB06 0 0 3 3 4 5 4 0 0 1 9 15 1
mcs90_m3D_s10_AB07 0 0 2 3 5 5 4 0 1 1 19 18 1
mcs90_m3D_s10_AB08 0 0 2 2 4 5 4 0 1 2 15 10 2
mcs90_m3D_s10_AB09 0 0 2 2 4 6 3 0 1 2 18 8 2
mcs90_m3D_s30_AB00 3 0 5 6 7 8 7 0 1 1 19 30 1
mcs90_m3D_s30_AB01 2 0 4 6 6 8 8 0 1 1 14 8 1
mcs90_m3D_s30_AB02 4 0 7 6 8 11 7 0 0 1 12 33 1
mcs90_m3D_s30_AB03 3 0 6 6 8 10 7 0 1 1 14 14 1
mcs90_m3D_s30_AB04 2 0 3 5 6 8 6 0 1 2 18 19 1
mcs90_m3D_s30_AB05 3 0 6 6 8 9 7 0 1 2 22 27 2
mcs90_m3D_s30_AB06 3 0 5 6 7 8 6 0 1 2 12 12 2
mcs90_m3D_s30_AB07 3 0 5 5 7 8 6 1 1 1 12 12 1
mcs90_m3D_s30_AB08 3 0 5 6 7 9 7 0 1 1 41 13 1
mcs90_m3D_s30_AB09 4 0 5 8 7 10 8 0 1 2 42 29 2
mcs90_m3D_s70_AB00 39 0 32 34 36 36 36 0 1 1 50 49 1
mcs90_m3D_s70_AB01 24 0 25 30 28 31 29 0 1 2 48 63 2
mcs90_m3D_s70_AB02 25 0 26 29 29 33 31 1 1 2 57 49 3
mcs90_m3D_s70_AB03 35 0 31 33 32 37 35 0 1 2 47 53 2
mcs90_m3D_s70_AB04 33 0 27 30 30 32 30 0 1 2 44 50 2
mcs90_m3D_s70_AB05 23 0 26 29 30 28 28 0 1 1 46 57 2
mcs90_m3D_s70_AB06 26 0 27 30 30 31 31 1 2 4 37 41 4
mcs90_m3D_s70_AB07 36 0 30 31 32 35 32 0 1 2 44 43 2
mcs90_m3D_s70_AB08 29 0 29 30 31 34 33 0 1 2 50 54 2
mcs90_m3D_s70_AB09 23 0 26 26 28 31 27 1 1 3 40 39 3
mcs90_m3D_s80_AB00 127 220 48 56 56 53 57 213 220 200 71 69 214
mcs90_m3D_s80_AB01 48 50 45 54 47 48 56 37 40 38 91 69 42
mcs90_m3D_s80_AB02 41 5 43 45 48 50 45 4 5 6 59 74 6
mcs90_m3D_s80_AB03 199 183 43 50 46 47 43 1 2 4 67 65 5
mcs90_m3D_s80_AB04 188 1360 56 59 63 65 60 1160 1321 1319 74 58 1284
mcs90_m3D_s80_AB05 122 4 37 41 42 46 42 4 4 5 60 54 10
mcs90_m3D_s80_AB06 441 416 49 48 54 51 52 52 54 42 64 78 55
mcs90_m3D_s80_AB07 42 43 42 46 43 45 48 2 2 5 57 70 4
mcs90_m3D_s80_AB08 224 39 61 59 70 73 69 12 16 16 92 100 19
mcs90_m3D_s80_AB09 50 48 46 52 56 61 50 33 26 32 67 63 34
mcs90_m3Dr2_s10_AB00 0 0 2 3 3 6 5 0 0 1 25 23 1
mcs90_m3Dr2_s10_AB01 0 0 2 2 4 6 4 1 1 1 17 10 1
mcs90_m3Dr2_s10_AB02 0 0 2 3 3 4 4 0 1 2 13 9 3
mcs90_m3Dr2_s10_AB03 0 0 2 4 4 6 4 0 1 2 24 12 1
mcs90_m3Dr2_s10_AB04 0 0 2 3 2 6 4 0 1 2 17 9 2
