instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_m2Dr6_s60_AB02 215 712 38 411
mcs10_m2Dr6_s60_AB03 247 2217 47 808
mcs10_m2Dr6_s60_AB04 207 3867 34 1645
mcs10_m2Dr6_s60_AB05 1015 5895 63 1819
mcs10_m2Dr6_s60_AB06 1056 9520 78 1924
mcs10_m2Dr6_s60_AB07 704 2795 73 1260
mcs10_m2Dr6_s60_AB08 503 1893 45 850
mcs10_m2Dr6_s60_AB09 314 1965 58 665
mcs10_m2Dr6_s70_AB00 14688 266873 432 23838
mcs10_m2Dr6_s70_AB01 15399 280165 525 74120
mcs10_m2Dr6_s70_AB02 196812 617518 6504 154976
mcs10_m2Dr6_s70_AB03 39355 127149 1012 16385
mcs10_m2Dr6_s70_AB04 2794 3361 157 855
mcs10_m2Dr6_s70_AB05 49400 163544 2193 21737
mcs10_m2Dr6_s70_AB06 84622 268311 2918 146389
mcs10_m2Dr6_s70_AB07 232204 141071 4229 17505
mcs10_m2Dr6_s70_AB08 14732 341086 1015 79831
mcs10_m2Dr6_s70_AB09 870 23489 70 5733
mcs10_m2Dr6_s80_AB00 228235 982857 7978 280040
mcs10_m2Dr6_s80_AB01 1000000 1000000 58778 1000002
mcs10_m2Dr6_s80_AB02 1000000 1000000 75248 1000004
